,Key,Profitability_data
191,"dfs_38minute_(30, 10)_RSI_ADANIENT",36.07
192,"dfs_day_(1, 0.33)_BB_ADANIGREEN",28.57
193,"dfs_day_(1, 0.33)_BBRSI_ADANIGREEN",14.29
194,"dfs_day_(1, 0.33)_BBRSI-UC_ADANIGREEN",28.57
195,"dfs_day_(1, 0.33)_MA_ADANIGREEN",37.5
196,"dfs_day_(1, 0.33)_MARSI-C_ADANIGREEN",0.0
197,"dfs_day_(1, 0.33)_MARSI-UC1_ADANIGREEN",100.0
198,"dfs_day_(1, 0.33)_MARSI-UC2_ADANIGREEN",100.0
199,"dfs_day_(1, 0.33)_RSI_ADANIGREEN",33.33
200,"dfs_day_(15, 5)_BB_ADANIGREEN",41.67
201,"dfs_day_(15, 5)_BBRSI_ADANIGREEN",42.86
202,"dfs_day_(15, 5)_BBRSI-UC_ADANIGREEN",41.67
203,"dfs_day_(15, 5)_MA_ADANIGREEN",85.71
204,"dfs_day_(15, 5)_MARSI-C_ADANIGREEN",0.0
205,"dfs_day_(15, 5)_MARSI-UC1_ADANIGREEN",100.0
206,"dfs_day_(15, 5)_MARSI-UC2_ADANIGREEN",66.67
207,"dfs_day_(15, 5)_RSI_ADANIGREEN",36.36
208,"dfs_day_(3, 1)_BB_ADANIGREEN",28.57
209,"dfs_day_(3, 1)_BBRSI_ADANIGREEN",28.57
210,"dfs_day_(3, 1)_BBRSI-UC_ADANIGREEN",28.57
211,"dfs_day_(3, 1)_MA_ADANIGREEN",37.5
212,"dfs_day_(3, 1)_MARSI-C_ADANIGREEN",0.0
213,"dfs_day_(3, 1)_MARSI-UC1_ADANIGREEN",100.0
214,"dfs_day_(3, 1)_MARSI-UC2_ADANIGREEN",66.67
215,"dfs_day_(3, 1)_RSI_ADANIGREEN",25.71
216,"dfs_day_(30, 10)_BB_ADANIGREEN",44.44
217,"dfs_day_(30, 10)_BBRSI_ADANIGREEN",50.0
218,"dfs_day_(30, 10)_BBRSI-UC_ADANIGREEN",44.44
219,"dfs_day_(30, 10)_MA_ADANIGREEN",83.33
220,"dfs_day_(30, 10)_MARSI-C_ADANIGREEN",0.0
221,"dfs_day_(30, 10)_MARSI-UC1_ADANIGREEN",100.0
222,"dfs_day_(30, 10)_MARSI-UC2_ADANIGREEN",66.67
223,"dfs_day_(30, 10)_RSI_ADANIGREEN",42.86
224,"dfs_hour_(1, 0.33)_BB_ADANIGREEN",41.33
225,"dfs_hour_(1, 0.33)_BBRSI_ADANIGREEN",41.45
226,"dfs_hour_(1, 0.33)_BBRSI-UC_ADANIGREEN",40.0
227,"dfs_hour_(1, 0.33)_MA_ADANIGREEN",49.32
228,"dfs_hour_(1, 0.33)_MARSI-C_ADANIGREEN",42.86
229,"dfs_hour_(1, 0.33)_MARSI-UC1_ADANIGREEN",40.0
230,"dfs_hour_(1, 0.33)_MARSI-UC2_ADANIGREEN",33.33
231,"dfs_hour_(1, 0.33)_RSI_ADANIGREEN",36.43
232,"dfs_hour_(15, 5)_BB_ADANIGREEN",39.19
233,"dfs_hour_(15, 5)_BBRSI_ADANIGREEN",38.24
234,"dfs_hour_(15, 5)_BBRSI-UC_ADANIGREEN",39.19
235,"dfs_hour_(15, 5)_MA_ADANIGREEN",45.0
236,"dfs_hour_(15, 5)_MARSI-C_ADANIGREEN",50.0
