,Key,Entry_data
175,"dfs_38minute_(15, 5)_RSI_ADANIENT",148
176,"dfs_38minute_(3, 1)_BB_ADANIENT",419
177,"dfs_38minute_(3, 1)_BBRSI_ADANIENT",285
178,"dfs_38minute_(3, 1)_BBRSI-UC_ADANIENT",402
179,"dfs_38minute_(3, 1)_MA_ADANIENT",180
180,"dfs_38minute_(3, 1)_MARSI-C_ADANIENT",19
181,"dfs_38minute_(3, 1)_MARSI-UC1_ADANIENT",17
182,"dfs_38minute_(3, 1)_MARSI-UC2_ADANIENT",39
183,"dfs_38minute_(3, 1)_RSI_ADANIENT",582
184,"dfs_38minute_(30, 10)_BB_ADANIENT",51
185,"dfs_38minute_(30, 10)_BBRSI_ADANIENT",48
186,"dfs_38minute_(30, 10)_BBRSI-UC_ADANIENT",51
187,"dfs_38minute_(30, 10)_MA_ADANIENT",45
188,"dfs_38minute_(30, 10)_MARSI-C_ADANIENT",11
189,"dfs_38minute_(30, 10)_MARSI-UC1_ADANIENT",11
190,"dfs_38minute_(30, 10)_MARSI-UC2_ADANIENT",24
191,"dfs_38minute_(30, 10)_RSI_ADANIENT",61
192,"dfs_day_(1, 0.33)_BB_ADANIGREEN",14
193,"dfs_day_(1, 0.33)_BBRSI_ADANIGREEN",7
194,"dfs_day_(1, 0.33)_BBRSI-UC_ADANIGREEN",14
195,"dfs_day_(1, 0.33)_MA_ADANIGREEN",8
196,"dfs_day_(1, 0.33)_MARSI-C_ADANIGREEN",0
197,"dfs_day_(1, 0.33)_MARSI-UC1_ADANIGREEN",1
198,"dfs_day_(1, 0.33)_MARSI-UC2_ADANIGREEN",3
199,"dfs_day_(1, 0.33)_RSI_ADANIGREEN",39
200,"dfs_day_(15, 5)_BB_ADANIGREEN",12
201,"dfs_day_(15, 5)_BBRSI_ADANIGREEN",7
202,"dfs_day_(15, 5)_BBRSI-UC_ADANIGREEN",12
203,"dfs_day_(15, 5)_MA_ADANIGREEN",7
204,"dfs_day_(15, 5)_MARSI-C_ADANIGREEN",0
205,"dfs_day_(15, 5)_MARSI-UC1_ADANIGREEN",1
206,"dfs_day_(15, 5)_MARSI-UC2_ADANIGREEN",3
207,"dfs_day_(15, 5)_RSI_ADANIGREEN",22
208,"dfs_day_(3, 1)_BB_ADANIGREEN",14
209,"dfs_day_(3, 1)_BBRSI_ADANIGREEN",7
210,"dfs_day_(3, 1)_BBRSI-UC_ADANIGREEN",14
211,"dfs_day_(3, 1)_MA_ADANIGREEN",8
212,"dfs_day_(3, 1)_MARSI-C_ADANIGREEN",0
213,"dfs_day_(3, 1)_MARSI-UC1_ADANIGREEN",1
214,"dfs_day_(3, 1)_MARSI-UC2_ADANIGREEN",3
215,"dfs_day_(3, 1)_RSI_ADANIGREEN",35
216,"dfs_day_(30, 10)_BB_ADANIGREEN",9
217,"dfs_day_(30, 10)_BBRSI_ADANIGREEN",6
218,"dfs_day_(30, 10)_BBRSI-UC_ADANIGREEN",9
219,"dfs_day_(30, 10)_MA_ADANIGREEN",6
220,"dfs_day_(30, 10)_MARSI-C_ADANIGREEN",0
221,"dfs_day_(30, 10)_MARSI-UC1_ADANIGREEN",1
222,"dfs_day_(30, 10)_MARSI-UC2_ADANIGREEN",3
223,"dfs_day_(30, 10)_RSI_ADANIGREEN",14
224,"dfs_hour_(1, 0.33)_BB_ADANIGREEN",196
225,"dfs_hour_(1, 0.33)_BBRSI_ADANIGREEN",152
226,"dfs_hour_(1, 0.33)_BBRSI-UC_ADANIGREEN",190
227,"dfs_hour_(1, 0.33)_MA_ADANIGREEN",73
228,"dfs_hour_(1, 0.33)_MARSI-C_ADANIGREEN",7
229,"dfs_hour_(1, 0.33)_MARSI-UC1_ADANIGREEN",5
230,"dfs_hour_(1, 0.33)_MARSI-UC2_ADANIGREEN",18
231,"dfs_hour_(1, 0.33)_RSI_ADANIGREEN",431
232,"dfs_hour_(15, 5)_BB_ADANIGREEN",74
233,"dfs_hour_(15, 5)_BBRSI_ADANIGREEN",68
234,"dfs_hour_(15, 5)_BBRSI-UC_ADANIGREEN",74
235,"dfs_hour_(15, 5)_MA_ADANIGREEN",40
236,"dfs_hour_(15, 5)_MARSI-C_ADANIGREEN",6
237,"dfs_hour_(15, 5)_MARSI-UC1_ADANIGREEN",5
238,"dfs_hour_(15, 5)_MARSI-UC2_ADANIGREEN",14
239,"dfs_hour_(15, 5)_RSI_ADANIGREEN",94
240,"dfs_hour_(3, 1)_BB_ADANIGREEN",165
241,"dfs_hour_(3, 1)_BBRSI_ADANIGREEN",132
242,"dfs_hour_(3, 1)_BBRSI-UC_ADANIGREEN",159
243,"dfs_hour_(3, 1)_MA_ADANIGREEN",71
244,"dfs_hour_(3, 1)_MARSI-C_ADANIGREEN",7
245,"dfs_hour_(3, 1)_MARSI-UC1_ADANIGREEN",5
246,"dfs_hour_(3, 1)_MARSI-UC2_ADANIGREEN",15
247,"dfs_hour_(3, 1)_RSI_ADANIGREEN",307
248,"dfs_hour_(30, 10)_BB_ADANIGREEN",38
249,"dfs_hour_(30, 10)_BBRSI_ADANIGREEN",39
250,"dfs_hour_(30, 10)_BBRSI-UC_ADANIGREEN",38
251,"dfs_hour_(30, 10)_MA_ADANIGREEN",24
252,"dfs_hour_(30, 10)_MARSI-C_ADANIGREEN",4
253,"dfs_hour_(30, 10)_MARSI-UC1_ADANIGREEN",4
254,"dfs_hour_(30, 10)_MARSI-UC2_ADANIGREEN",11
255,"dfs_hour_(30, 10)_RSI_ADANIGREEN",42
256,"dfs_38minute_(1, 0.33)_BB_ADANIGREEN",279
257,"dfs_38minute_(1, 0.33)_BBRSI_ADANIGREEN",206
258,"dfs_38minute_(1, 0.33)_BBRSI-UC_ADANIGREEN",270
259,"dfs_38minute_(1, 0.33)_MA_ADANIGREEN",114
260,"dfs_38minute_(1, 0.33)_MARSI-C_ADANIGREEN",13
261,"dfs_38minute_(1, 0.33)_MARSI-UC1_ADANIGREEN",12
262,"dfs_38minute_(1, 0.33)_MARSI-UC2_ADANIGREEN",30
263,"dfs_38minute_(1, 0.33)_RSI_ADANIGREEN",552
264,"dfs_38minute_(15, 5)_BB_ADANIGREEN",87
265,"dfs_38minute_(15, 5)_BBRSI_ADANIGREEN",75
266,"dfs_38minute_(15, 5)_BBRSI-UC_ADANIGREEN",85
267,"dfs_38minute_(15, 5)_MA_ADANIGREEN",63
268,"dfs_38minute_(15, 5)_MARSI-C_ADANIGREEN",11
269,"dfs_38minute_(15, 5)_MARSI-UC1_ADANIGREEN",9
270,"dfs_38minute_(15, 5)_MARSI-UC2_ADANIGREEN",19
271,"dfs_38minute_(15, 5)_RSI_ADANIGREEN",108
272,"dfs_38minute_(3, 1)_BB_ADANIGREEN",228
273,"dfs_38minute_(3, 1)_BBRSI_ADANIGREEN",174
274,"dfs_38minute_(3, 1)_BBRSI-UC_ADANIGREEN",221
275,"dfs_38minute_(3, 1)_MA_ADANIGREEN",108
276,"dfs_38minute_(3, 1)_MARSI-C_ADANIGREEN",13
277,"dfs_38minute_(3, 1)_MARSI-UC1_ADANIGREEN",11
278,"dfs_38minute_(3, 1)_MARSI-UC2_ADANIGREEN",28
279,"dfs_38minute_(3, 1)_RSI_ADANIGREEN",366
280,"dfs_38minute_(30, 10)_BB_ADANIGREEN",43
281,"dfs_38minute_(30, 10)_BBRSI_ADANIGREEN",40
282,"dfs_38minute_(30, 10)_BBRSI-UC_ADANIGREEN",43
